楼盘ID,楼盘名称,城市名称,城市ID,区域名称,区域ID,子区域名称,子区域ID,地址,环线位置,最新价格,参考价格,房贷计算信息,面积范围,占地面积,建筑面积,房间面积信息,户型文本描述,全部户型,开盘日期,开盘日期备注,开盘时间,交房时间,发证时间,建筑类型,建筑类型,产权年限,容积率,绿化率,规划户数,装修情况,工程进度,物业类型,物业公司,物业管理费,物业特色,车位数,车位比,销售状态,销售标题,租售标题,预售证号,绑定楼栋,开发商,开发商品牌,投资商,供电,供水,百度地图纬度,百度地图经度,400电话,所有标签列表,标签列表,默认图片,规交信息,售楼处地址
383197,银盛泰泰馨苑,青岛,30,城阳区,3644,其他,10171,青岛城阳区其他文阳路与黑龙江路交汇处,nan,nan,nan,nan,77-88㎡,58000m²,137000m²,"[{""id"": 140450, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 77}, {""id"": 140446, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 88}]",2/3室,"2室户型,3室户型",nan,nan,nan,nan,[],"{小高层,高层}","{小高层,高层}",70年,2,30%,1039,毛坯,nan,住宅,nan,2.4元/㎡/月,nan,1300,1：1.2,售罄,售罄,售罄,"[""青房注字(城15)第20""]",[],nan,nan,青岛银盛泰恒泰房地产有限公司,民电,民水,36.301622373748,120.39116959075,"""""","{""9"": ""轨交房"", ""10"": ""多轨交"", ""72"": ""配套纯熟"", ""71"": ""便利店"", ""70"": ""银行"", ""69"": ""学校"", ""68"": ""医院"", ""66"": ""公园"", ""65"": ""商业街"", ""64"": ""购物中心"", ""638"": ""民办中学"", ""637"": ""公办中学"", ""636"": ""公办小学"", ""598"": ""民办幼儿园"", ""597"": ""公办幼儿园""}","[""轨交房"", ""多轨交"", ""配套纯熟"", ""便利店"", ""银行""]",https://pic4.ajkimg.com/display/xinfang/815bb4f54109285bacd374bd0066b332/275x206n.jpg,"[{""id"": ""7314709"", ""loupan_id"": ""383197"", ""station_id"": ""4431"", ""subway_id"": ""124"", ""city_id"": ""30"", ""distance"": ""526米"", ""status"": ""1"", ""last_update_time"": ""1774212706"", ""is_rail_loupan"": ""1"", ""subway_name"": ""7号线"", ""station_name"": ""文阳路"", ""distance_raw"": ""526""}, {""id"": ""7316580"", ""loupan_id"": ""383197"", ""station_id"": ""121277"", ""subway_id"": ""124"", ""city_id"": ""30"", ""distance"": ""561米"", ""status"": ""1"", ""last_update_time"": ""1774212709"", ""is_rail_loupan"": ""1"", ""subway_name"": ""7号线"", ""station_name"": ""小寨子"", ""distance_raw"": ""561""}, {""id"": ""7316234"", ""loupan_id"": ""383197"", ""station_id"": ""11026"", ""subway_id"": ""1045"", ""city_id"": ""30"", ""distance"": ""609米"", ""status"": ""1"", ""last_update_time"": ""1774212708"", ""is_rail_loupan"": ""1"", ""subway_name"": ""1号线"", ""station_name"": ""小寨子"", ""distance_raw"": ""609""}, {""id"": ""7314708"", ""loupan_id"": ""383197"", ""station_id"": ""4430"", ""subway_id"": ""124"", ""city_id"": ""30"", ""distance"": ""1207米"", ""status"": ""1"", ""last_update_time"": ""1774212706"", ""is_rail_loupan"": ""1"", ""subway_name"": ""7号线"", ""station_name"": ""庙头"", ""distance_raw"": ""1207""}, {""id"": ""7316582"", ""loupan_id"": ""383197"", ""station_id"": ""121276"", ""subway_id"": ""124"", ""city_id"": ""30"", ""distance"": ""1232米"", ""status"": ""1"", ""last_update_time"": ""1774212709"", ""is_rail_loupan"": ""1"", ""subway_name"": ""7号线"", ""station_name"": ""凤岗路"", ""distance_raw"": ""1232""}, {""id"": ""7316253"", ""loupan_id"": ""383197"", ""station_id"": ""11030"", ""subway_id"": ""1045"", ""city_id"": ""30"", ""distance"": ""1233米"", ""status"": ""1"", ""last_update_time"": ""1774212708"", ""is_rail_loupan"": ""1"", ""subway_name"": ""1号线"", ""station_name"": ""凤岗路"", ""distance_raw"": ""1233""}, {""id"": ""7315979"", ""loupan_id"": ""383197"", ""station_id"": ""121196"", ""subway_id"": ""12069"", ""city_id"": ""30"", ""distance"": ""1293米"", ""status"": ""1"", ""last_update_time"": ""1774212708"", ""is_rail_loupan"": ""1"", ""subway_name"": ""9号线"", ""station_name"": ""华城路"", ""distance_raw"": ""1293""}]",城阳区正阳中路国际商务港一楼
383209,平度龙宇上城,青岛,30,平度市,3649,平度,3722,青岛平度市平度厦门路77号,nan,nan,nan,nan,108-119㎡,34394m²,228757m²,"[{""id"": 146168, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 108}, {""id"": 345372, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 108.84}, {""id"": 345373, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 108.84}, {""id"": 146169, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 111}, {""id"": 345374, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 111.84}, {""id"": 345375, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 111.84}, {""id"": 345377, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 111.84}, {""id"": 271809, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 118.14}, {""id"": 345378, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 118.14}, {""id"": 420448, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 119.2}]",3室,3室户型,nan,nan,nan,nan,"[""2013-03-20"", ""2017-11-03"", ""2013-03-20"", ""2018-01-30"", ""2016-12-16"", ""2016-12-16"", ""2016-10-27"", ""2016-10-27"", ""2016-08-15"", ""2016-08-15"", ""2013-05-31"", ""2012-10-30"", ""2012-10-30""]",{小高层},{小高层},70年,3,31%,507,毛坯,nan,住宅,nan,0.68元/㎡/月,nan,507,1:1,售罄,售罄,售罄,"[""平房注字(2013)383号952710"", ""平房注字(2017)636"", ""平房注字(2013)383号"", ""平房注字(2018)645"", ""平房注字(2016)578"", ""平房注字(2016)577"", ""平房注字(2016)558"", ""平房注字(2016)557"", ""平房注字(2016)533"", ""平房注字(2016)534"", ""平房注字(2013)382"", ""平房注字(2012)363"", ""平房注字(2012)362""]","[""31# 32#"", ""15# 16# 17# 18# 19# 20#"", ""33#、34#、35#、36#"", ""25#、29#"", ""22#"", ""21#"", ""24# 28#"", ""26#、27#、30#"", ""23#"", ""12# 7# 9#"", ""11# 13# 14#"", ""1# 10# 2# 3# 4# 5# 6# 8#""]",nan,nan,青岛龙宇房地产开发有限公司,民电,民水,36.775311,119.990138,"""""","{""81"": ""大阳台"", ""75"": ""三房朝南"", ""74"": ""南北通透"", ""72"": ""配套纯熟"", ""71"": ""便利店"", ""70"": ""银行"", ""69"": ""学校"", ""68"": ""医院"", ""66"": ""公园"", ""65"": ""商业街"", ""78"": ""大户型"", ""82"": ""双卫生间"", ""638"": ""民办中学"", ""637"": ""公办中学"", ""636"": ""公办小学"", ""635"": ""民办小学"", ""598"": ""民办幼儿园"", ""597"": ""公办幼儿园""}","[""大阳台"", ""三房朝南"", ""南北通透"", ""配套纯熟"", ""便利店""]",https://pic4.ajkimg.com/display/xinfang/8608c72464f1c9d3e75163751fc3e562/275x206n.jpg,[],平度市北方国贸一层
383211,御园,青岛,30,即墨区,3645,即墨市,3714,青岛即墨区即墨市嵩山二路177号,nan,nan,nan,nan,93-109㎡,50000m²,100000m²,"[{""id"": 144927, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 93}, {""id"": 144926, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 109}]",2/3室,"2室户型,3室户型",nan,nan,nan,nan,[],{小高层},{小高层},70年,2,40%,1200,"毛坯,带装修",nan,住宅,nan,1.5元/㎡/月,nan,1000,1:0.8,售罄,售罄,售罄,"[""即房(2010)注字056"", ""即房(2012)注字018号"", ""即房(2013)注字011""]",[],nan,nan,青岛永信置业有限公司,民电,民水,36.383743278202,120.42941451592,"""""","{""53"": ""高绿化率"", ""29"": ""装修交付"", ""72"": ""配套纯熟"", ""70"": ""银行"", ""69"": ""学校"", ""68"": ""医院"", ""66"": ""公园"", ""65"": ""商业街"", ""64"": ""购物中心"", ""637"": ""公办中学"", ""636"": ""公办小学"", ""600"": ""市级示范园"", ""598"": ""民办幼儿园"", ""597"": ""公办幼儿园""}","[""高绿化率"", ""装修交付"", ""配套纯熟"", ""银行"", ""学校""]",https://pic4.ajkimg.com/display/xinfang/ce29129f441b3df78d5f3f57c5fa048e/275x206n.jpg,[],即墨市嵩山二路177号
383210,都霖世家,青岛,30,城阳区,3644,其他,10171,青岛城阳区其他瑞阳路78号,nan,nan,nan,nan,256-265㎡,nan,nan,[],别墅,别墅户型,nan,nan,nan,nan,[],{},{},nan,nan,40%,1300,毛坯,nan,别墅,青岛都霖物业发展有限公司,nan,nan,400,1:2,售罄,售罄,售罄,[],[],nan,nan,都霖美景房地产开发有限公司,民电,民水,36.317117127306,120.44951845311,"""""","{""56"": ""车位充足"", ""53"": ""高绿化率"", ""9"": ""轨交房"", ""72"": ""配套纯熟"", ""70"": ""银行"", ""69"": ""学校"", ""68"": ""医院"", ""66"": ""公园"", ""65"": ""商业街"", ""64"": ""购物中心"", ""78"": ""大户型"", ""637"": ""公办中学"", ""636"": ""公办小学"", ""598"": ""民办幼儿园"", ""597"": ""公办幼儿园""}","[""车位充足"", ""高绿化率"", ""轨交房"", ""配套纯熟"", ""银行""]",https://pic4.ajkimg.com/display/xinfang/aa1cb96f6000a3022b386c67b230abc2/275x206n.jpg,"[{""id"": ""7313922"", ""loupan_id"": ""383210"", ""station_id"": ""121200"", ""subway_id"": ""12069"", ""city_id"": ""30"", ""distance"": ""1280米"", ""status"": ""1"", ""last_update_time"": ""1774212705"", ""is_rail_loupan"": ""1"", ""subway_name"": ""9号线"", ""station_name"": ""荟城路"", ""distance_raw"": ""1280""}]",青岛市城阳区瑞阳路78号
383215,宏东小区,青岛,30,莱西市,3648,莱西,3720,青岛莱西市莱西蓬水路2017号（河头店）,nan,nan,nan,nan,nan,20000m²,14132m²,[],nan,nan,nan,nan,nan,nan,[],{多层},{多层},70年,1.5,30%,145,毛坯,nan,住宅,nan,nan,nan,nan,1:1,售罄,售罄,售罄,[],[],nan,nan,青岛宏东建设工程有限公司,民电,民水,37.023543726854,120.58537559726,"""""","{""52"": ""低容积"", ""70"": ""银行"", ""69"": ""学校"", ""68"": ""医院"", ""55"": ""小型社区""}","[""低容积"", ""银行"", ""学校"", ""医院"", ""小型社区""]",https://pic4.ajkimg.com/display/xinfang/af03050eb837d678c73d0a75294d4100/275x206n.jpg,[],蓬水路2017号
383237,保利中央公园,青岛,30,李沧区,3642,金水路,5196,青岛李沧区金水路重庆路与金水路交界以东200米,nan,nan,nan,nan,30-123㎡,126150m²,538609m²,"[{""id"": 261938, ""rooms"": 1, ""room_alias"": ""一室"", ""area"": 30}, {""id"": 227102, ""rooms"": 1, ""room_alias"": ""一室"", ""area"": 45}, {""id"": 404161, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 55}, {""id"": 254183, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 89}, {""id"": 372108, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 89}, {""id"": 372111, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 95}, {""id"": 261935, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 123}]",1/2室、3室,"商业户型,3室户型",nan,nan,nan,nan,"[""2016-12-23"", ""2015-08-01"", ""2016-03-08"", ""2018-09-28""]",{高层},{高层},40年,3,31%,2900,毛坯,nan,商业,nan,2.2元/㎡/月,nan,2900,1:1,售罄,售罄,售罄,"[""青房注字(2016)第015号"", ""青房注字(2016)第051号"", ""青房注字(2015)第136号"", ""青房注字(2015)第072号"", ""青房注字(2016)第164号"", ""青房注字(2015)第073号"", ""青房注字(2017)第025号"", ""青房注字（2018）第055号""]",[],nan,nan,保利地产,商电,商水,36.181722,120.422543,"""""","{""57"": ""人车分流"", ""9"": ""轨交房"", ""76"": ""厨卫全明"", ""73"": ""卧室全朝南"", ""10"": ""多轨交"", ""72"": ""配套纯熟"", ""71"": ""便利店"", ""70"": ""银行"", ""68"": ""医院"", ""67"": ""生态绿地"", ""66"": ""公园"", ""65"": ""商业街"", ""64"": ""购物中心"", ""78"": ""大户型"", ""397"": ""动静分离"", ""263"": ""VR看房"", ""54"": ""大型社区""}","[""人车分流"", ""轨交房"", ""厨卫全明"", ""卧室全朝南"", ""多轨交""]",https://pic4.ajkimg.com/display/xinfang/274a7698486dbff7c4d8998840e6ce61/275x206n.jpg,"[{""id"": ""7314122"", ""loupan_id"": ""383237"", ""station_id"": ""121279"", ""subway_id"": ""124"", ""city_id"": ""30"", ""distance"": ""1384米"", ""status"": ""1"", ""last_update_time"": ""1774212706"", ""is_rail_loupan"": ""1"", ""subway_name"": ""7号线"", ""station_name"": ""振华路"", ""distance_raw"": ""1384""}, {""id"": ""7315139"", ""loupan_id"": ""383237"", ""station_id"": ""4360"", ""subway_id"": ""121"", ""city_id"": ""30"", ""distance"": ""1466米"", ""status"": ""1"", ""last_update_time"": ""1774212707"", ""is_rail_loupan"": ""1"", ""subway_name"": ""3号线"", ""station_name"": ""君峰路"", ""distance_raw"": ""1466""}, {""id"": ""7314128"", ""loupan_id"": ""383237"", ""station_id"": ""121278"", ""subway_id"": ""124"", ""city_id"": ""30"", ""distance"": ""1484米"", ""status"": ""1"", ""last_update_time"": ""1774212706"", ""is_rail_loupan"": ""1"", ""subway_name"": ""7号线"", ""station_name"": ""文安路"", ""distance_raw"": ""1484""}]",李沧区金水路虎山军体中心斜对面
383227,旺兴御景苑,青岛,30,胶州市,3647,胶州,3718,青岛胶州市胶州滨州路37号,nan,nan,nan,nan,86-125㎡,36101m²,43140m²,"[{""id"": 143711, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 86}, {""id"": 143716, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 125}]",2/3室,"2室户型,3室户型",nan,nan,nan,nan,[],{多层},{多层},70年,1.2,36%,410,毛坯,nan,住宅,青岛瑞欣物业管理有限公司,0.6元/㎡/月,nan,366,nan,售罄,售罄,售罄,"[""青房注字(胶州)第2014001""]",[],nan,nan,青岛市旺兴置业有限公司,民电,民水,36.309828034185,120.03840898068,"{""service_num"": ""4006708287"", ""num"": """"}","{""53"": ""高绿化率"", ""52"": ""低容积"", ""72"": ""配套纯熟"", ""71"": ""便利店"", ""70"": ""银行"", ""69"": ""学校"", ""68"": ""医院"", ""65"": ""商业街"", ""64"": ""购物中心"", ""78"": ""大户型"", ""637"": ""公办中学"", ""636"": ""公办小学"", ""598"": ""民办幼儿园"", ""597"": ""公办幼儿园""}","[""高绿化率"", ""低容积"", ""配套纯熟"", ""便利店"", ""银行""]",https://pic4.ajkimg.com/display/xinfang/19b11f6748c9b06acb2ca41a9f6c2e08/275x206n.jpg,[],胶州市滨州路37号
383224,广厦幸福时光,青岛,30,黄岛区,4516,长江路,5213,青岛黄岛区长江路长江东路与衡山路交汇处向东100米,nan,nan,nan,nan,94-106㎡,3738m²,17000m²,"[{""id"": 143791, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 93.77}, {""id"": 143790, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 106}]",2/3室,"2室户型,3室户型",nan,nan,nan,nan,[],{高层},{高层},70年,4,35%,126,毛坯,nan,住宅,nan,1.85元/㎡/月,nan,100,1:0.8,售罄,售罄,售罄,"[""青房注字青开13第076号""]",[],nan,nan,青岛金汇泉置业集团有限公司,民电,民水,35.96650658211,120.22386135979,"""""","{""9"": ""轨交房"", ""72"": ""配套纯熟"", ""71"": ""便利店"", ""70"": ""银行"", ""69"": ""学校"", ""68"": ""医院"", ""67"": ""生态绿地"", ""66"": ""公园"", ""65"": ""商业街"", ""64"": ""购物中心"", ""637"": ""公办中学"", ""636"": ""公办小学"", ""599"": ""省级示范园"", ""598"": ""民办幼儿园"", ""597"": ""公办幼儿园"", ""55"": ""小型社区""}","[""轨交房"", ""配套纯熟"", ""便利店"", ""银行"", ""学校""]",https://pic4.ajkimg.com/display/xinfang/f8f6e54faf13b670b872442b1beb4ac1/275x206n.jpg,"[{""id"": ""7313613"", ""loupan_id"": ""383224"", ""station_id"": ""120347"", ""subway_id"": ""1045"", ""city_id"": ""30"", ""distance"": ""248米"", ""status"": ""1"", ""last_update_time"": ""1774212705"", ""is_rail_loupan"": ""1"", ""subway_name"": ""1号线"", ""station_name"": ""薛家岛"", ""distance_raw"": ""248""}, {""id"": ""7316747"", ""loupan_id"": ""383224"", ""station_id"": ""120439"", ""subway_id"": ""1045"", ""city_id"": ""30"", ""distance"": ""1158米"", ""status"": ""1"", ""last_update_time"": ""1774212709"", ""is_rail_loupan"": ""1"", ""subway_name"": ""1号线"", ""station_name"": ""天目山"", ""distance_raw"": ""1158""}]",青岛市黄岛区长江东路与衡山路交汇处向北50米（薛家岛利群斜对面）
413222,卓越世纪中心二期写字楼,青岛,30,市北区,3640,山东路,5185,青岛市北区山东路延吉路128号,nan,nan,nan,nan,70㎡,39000m²,440000m²,[],nan,商业户型,nan,nan,nan,nan,[],{},{},40年,nan,30%,1272,毛坯,nan,标准写字楼,卓越物业管理有限公司,9.9元/㎡/月,nan,2000,nan,售罄,售罄,售罄,[],[],卓越集团（青岛）昌业房地产开发有限公司,卓越置业,卓越集团,商电,商水,36.096737732763,120.38687712979,"""""","{""9"": ""轨交房"", ""10"": ""多轨交"", ""72"": ""配套纯熟"", ""71"": ""便利店"", ""70"": ""银行"", ""68"": ""医院"", ""64"": ""购物中心"", ""223"": ""中心商务区"", ""51"": ""金牌物业"", ""50"": ""品牌开发商""}","[""轨交房"", ""多轨交"", ""配套纯熟"", ""便利店"", ""银行""]",https://pic4.ajkimg.com/display/xinfang/d2dd0d17e974a457c7f4adf956a4536e/275x206n.jpg,"[{""id"": ""7314642"", ""loupan_id"": ""413222"", ""station_id"": ""4369"", ""subway_id"": ""121"", ""city_id"": ""30"", ""distance"": ""726米"", ""status"": ""1"", ""last_update_time"": ""1774212706"", ""is_rail_loupan"": ""1"", ""subway_name"": ""3号线"", ""station_name"": ""敦化路"", ""distance_raw"": ""726""}, {""id"": ""7316400"", ""loupan_id"": ""413222"", ""station_id"": ""120732"", ""subway_id"": ""12051"", ""city_id"": ""30"", ""distance"": ""834米"", ""status"": ""1"", ""last_update_time"": ""1774212708"", ""is_rail_loupan"": ""1"", ""subway_name"": ""4号线"", ""station_name"": ""错埠岭"", ""distance_raw"": ""834""}, {""id"": ""7314643"", ""loupan_id"": ""413222"", ""station_id"": ""4368"", ""subway_id"": ""121"", ""city_id"": ""30"", ""distance"": ""1022米"", ""status"": ""1"", ""last_update_time"": ""1774212706"", ""is_rail_loupan"": ""1"", ""subway_name"": ""3号线"", ""station_name"": ""错埠岭"", ""distance_raw"": ""1022""}, {""id"": ""7316581"", ""loupan_id"": ""413222"", ""station_id"": ""121286"", ""subway_id"": ""1044"", ""city_id"": ""30"", ""distance"": ""1176米"", ""status"": ""1"", ""last_update_time"": ""1774212709"", ""is_rail_loupan"": ""1"", ""subway_name"": ""8号线"", ""station_name"": ""西吴家村"", ""distance_raw"": ""1176""}, {""id"": ""7316156"", ""loupan_id"": ""413222"", ""station_id"": ""121168"", ""subway_id"": ""12068"", ""city_id"": ""30"", ""distance"": ""1307米"", ""status"": ""1"", ""last_update_time"": ""1774212708"", ""is_rail_loupan"": ""1"", ""subway_name"": ""5号线"", ""station_name"": ""宁夏路"", ""distance_raw"": ""1307""}, {""id"": ""7316579"", ""loupan_id"": ""413222"", ""station_id"": ""121287"", ""subway_id"": ""1044"", ""city_id"": ""30"", ""distance"": ""1376米"", ""status"": ""1"", ""last_update_time"": ""1774212709"", ""is_rail_loupan"": ""1"", ""subway_name"": ""8号线"", ""station_name"": ""澳柯玛桥"", ""distance_raw"": ""1376""}, {""id"": ""7316154"", ""loupan_id"": ""413222"", ""station_id"": ""121169"", ""subway_id"": ""12068"", ""city_id"": ""30"", ""distance"": ""1376米"", ""status"": ""1"", ""last_update_time"": ""1774212708"", ""is_rail_loupan"": ""1"", ""subway_name"": ""5号线"", ""station_name"": ""澳柯玛桥"", ""distance_raw"": ""1376""}, {""id"": ""7314618"", ""loupan_id"": ""413222"", ""station_id"": ""4370"", ""subway_id"": ""121"", ""city_id"": ""30"", ""distance"": ""1416米"", ""status"": ""1"", ""last_update_time"": ""1774212706"", ""is_rail_loupan"": ""1"", ""subway_name"": ""3号线"", ""station_name"": ""宁夏路"", ""distance_raw"": ""1416""}, {""id"": ""7316401"", ""loupan_id"": ""413222"", ""station_id"": ""120731"", ""subway_id"": ""12051"", ""city_id"": ""30"", ""distance"": ""1468米"", ""status"": ""1"", ""last_update_time"": ""1774212708"", ""is_rail_loupan"": ""1"", ""subway_name"": ""4号线"", ""station_name"": ""西吴家村"", ""distance_raw"": ""1468""}]",市北区延吉路128号
383115,澄月湖畔三期,青岛,30,胶州市,3647,胶州,3718,青岛胶州市胶州澄月湖风景度假区澄月湖北侧,nan,nan,nan,nan,83-94㎡,57872m²,70606m²,"[{""id"": 139443, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 83}, {""id"": 139446, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 88.63}, {""id"": 139442, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 93}, {""id"": 139445, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 94}]",2室,2室户型,nan,nan,nan,nan,[],{多层},{多层},70年,1.22,52%,810,毛坯,nan,住宅,青岛华丽广场物业管理有限公司,0.45元/㎡/月,nan,800,1:1,售罄,售罄,售罄,"[""青房注字(胶州)第20100082"", ""青房注字(胶州)第2011065"", ""青房注字(胶州)第2012016"", ""青房注字(胶州)第2012070""]",[],nan,nan,nan,民电,民水,36.343302849724,120.20644526937,"""""","{""53"": ""高绿化率"", ""52"": ""低容积"", ""69"": ""学校"", ""68"": ""医院"", ""637"": ""公办中学"", ""636"": ""公办小学"", ""598"": ""民办幼儿园"", ""597"": ""公办幼儿园""}","[""高绿化率"", ""低容积"", ""学校"", ""医院"", ""公办中学""]",https://pic4.ajkimg.com/display/xinfang/acea88621e1b97abb4894fd4b0f5c399/275x206n.jpg,[],青岛市胶州澄月湖风景度假区澄月湖北侧
