楼盘ID,楼盘名称,城市名称,城市ID,区域名称,区域ID,子区域名称,子区域ID,地址,环线位置,最新价格,参考价格,房贷计算信息,面积范围,占地面积,建筑面积,房间面积信息,户型文本描述,全部户型,开盘日期,开盘日期备注,开盘时间,交房时间,发证时间,建筑类型,建筑类型,产权年限,容积率,绿化率,规划户数,装修情况,工程进度,物业类型,物业公司,物业管理费,物业特色,车位数,车位比,销售状态,销售标题,租售标题,预售证号,绑定楼栋,开发商,开发商品牌,投资商,供电,供水,百度地图纬度,百度地图经度,400电话,所有标签列表,标签列表,默认图片,规交信息,售楼处地址
415444,亿丰时代广场,上海,11,浦东,7,三林,74,上海浦东三林云台路766、768、772-800号等,内中环,93000,93000元/㎡,首付60万，月供14426元,nan,27252m²,53384m²,[],nan,nan,2014-03-30,2014年03月30日,2014年3月30日,2013年4月30日,[],{},{},40年,nan,20%,462,毛坯,nan,临街店铺,nan,10元/㎡/月,nan,462,1:1,尾盘,尾盘,尾盘,[],[],上海亿丰置业有限公司,nan,上海亿丰企业（集团）有限公司,商电,商水,31.168676,121.513877,"{""service_num"": ""4006708287"", ""num"": """"}","{""559"": ""现房"", ""12"": ""内中环"", ""72"": ""配套纯熟"", ""71"": ""便利店"", ""68"": ""医院"", ""66"": ""公园"", ""64"": ""购物中心"", ""366"": ""前滩辐射区"", ""215"": ""核心CBD"", ""213"": ""地铁沿线""}","[""现房"", ""内中环"", ""配套纯熟"", ""便利店"", ""医院""]",https://pic4.ajkimg.com/display/xinfang/c3898a22f0f46f99efee88c0c7ac205e/275x206n.jpg,[],上海市浦东新区上南路3027号
458089,中航天盛广场,上海,11,杨浦区,9,五角场,88,上海杨浦区五角场国通路118号,中外环,nan,nan,nan,nan,17602m²,97850m²,[],nan,nan,nan,nan,nan,nan,[],{},{},50年,nan,30%,nan,简装修,nan,标准写字楼,招商积余物业管理有限公司,17.8元/㎡/月,nan,530,nan,尾盘,尾盘,尾盘,[],[],nan,nan,nan,商电,商水,31.314389,121.516229,"{""service_num"": ""4006708287"", ""num"": """"}","{""29"": ""装修交付"", ""13"": ""中外环"", ""72"": ""配套纯熟"", ""70"": ""银行"", ""68"": ""医院"", ""65"": ""商业街""}","[""装修交付"", ""中外环"", ""配套纯熟"", ""银行"", ""医院""]",https://pic4.ajkimg.com/display/xinfang/58aefe429f32d6d3a2cdfac88b159551/275x206n.jpg,[],国通路118号
424528,东外滩17公馆,上海,11,杨浦区,9,东外滩,87,上海杨浦区东外滩杨树浦路2893号,内中环,nan,nan,nan,nan,10870m²,21740m²,[],nan,nan,2019-10-02,2019年10月02日,2019年10月2日,nan,[],{},{},50年,nan,20%,83,"毛坯,简装修",nan,标准写字楼,上海星海时尚物业经营管理有限公司,8.5元/㎡/月,nan,185,nan,尾盘,尾盘,尾盘,[],[],上海国际时尚中心园区管理有限公司,nan,上海纺织控股集团,商电,商水,31.278896863165,121.56330458446,"""""","{""29"": ""装修交付"", ""12"": ""内中环"", ""65"": ""商业街"", ""64"": ""购物中心"", ""55"": ""小型社区""}","[""装修交付"", ""内中环"", ""商业街"", ""购物中心"", ""小型社区""]",https://pic4.ajkimg.com/display/xinfang/0ebabd65925c80c6fa73c8ee9fe79818/275x206n.jpg,[],杨浦区杨树浦路2866号上海时尚中心内
82394,佘山东紫园,上海,11,松江区,15,佘山,160,上海松江区佘山林叶路189弄,外郊环,4000,4000万元/套起,首付600万，月供150784元,410-1090㎡,443786m²,114757m²,"[{""id"": 20499, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 433}, {""id"": 20505, ""rooms"": 5, ""room_alias"": ""五室"", ""area"": 410}, {""id"": 20508, ""rooms"": 5, ""room_alias"": ""五室"", ""area"": 412}, {""id"": 20509, ""rooms"": 5, ""room_alias"": ""五室"", ""area"": 486}, {""id"": 534357, ""rooms"": 5, ""room_alias"": ""五室"", ""area"": 554}, {""id"": 534521, ""rooms"": 5, ""room_alias"": ""五室"", ""area"": 578}, {""id"": 20489, ""rooms"": 6, ""room_alias"": ""六室"", ""area"": 639}, {""id"": 759180, ""rooms"": 6, ""room_alias"": ""六室"", ""area"": 731}, {""id"": 759182, ""rooms"": 6, ""room_alias"": ""六室"", ""area"": 838}, {""id"": 534526, ""rooms"": 6, ""room_alias"": ""六室"", ""area"": 1060}, {""id"": 759181, ""rooms"": 6, ""room_alias"": ""六室"", ""area"": 1090}]",别墅,别墅户型,2020-06-09,2020年06月09日,2020年6月9日,2013年9月30日,"[""2020-06-09"", ""2020-06-09"", ""2013-08-18"", ""2012-04-15"", ""2011-10-28"", ""2011-06-08"", ""2010-05-15"", ""2010-04-29""]",{独栋别墅},{独栋别墅},70年,0.18,70%,190,毛坯,已竣工，竣工时间：2013-09-30,别墅,北京安礼国际物业管理有限公司上海分公司,8元/㎡/月,nan,400,1:2,在售,在售,在售,"[""沪(2019)松字不动产权第007569号"", ""沪(2020)松字不动产权第016274号"", ""松江房管(2013)预字0340号"", ""松江房管(2012)预字0099号"", ""松江房管(2011)预字1263号"", ""松江房管(2011)预字0275号"", ""松江房管(2010)预字0254号"", ""沪房地松字2009第001885号"", ""松江房地(2008)预字0189号""]","[""109#、108#、107#、106#、103#、100#、101#、102#""]",上海龙嘉置业有限公司,合生创展集团,上海龙盟房地产开发有限公司,民电,民水,31.095839,121.218621,"{""service_num"": ""4006708287"", ""num"": ""33125""}","{""559"": ""现房"", ""557"": ""项目竣工"", ""81"": ""大阳台"", ""77"": ""复式"", ""56"": ""车位充足"", ""53"": ""高绿化率"", ""74"": ""南北通透"", ""15"": ""外郊环"", ""70"": ""银行"", ""68"": ""医院"", ""66"": ""公园"", ""78"": ""大户型"", ""86"": ""全景飘窗"", ""85"": ""主卧套房"", ""83"": ""双阳台"", ""82"": ""双卫生间"", ""638"": ""民办中学"", ""637"": ""公办中学"", ""624"": ""九年一贯制"", ""603"": ""二级园"", ""598"": ""民办幼儿园"", ""597"": ""公办幼儿园"", ""591"": ""放松限购"", ""55"": ""小型社区"", ""50"": ""品牌开发商""}","[""现房"", ""项目竣工"", ""大阳台"", ""复式"", ""车位充足""]",https://pic4.ajkimg.com/display/xinfang/66c27a73fa009cdf4c06106a98cc7003/275x206n.jpg,[],林湖路189弄91号
410576,红太阳商业广场,上海,11,宝山区,13,通河新村,184,上海宝山区通河新村宝山通河路,中外环,nan,nan,nan,nan,20000m²,55000m²,[],nan,nan,nan,nan,nan,nan,[],{},{},40年,nan,nan,nan,毛坯,nan,临街店铺,nan,18元/㎡/月,nan,600,nan,尾盘,尾盘,尾盘,[],[],nan,nan,荷中实业,商电,商水,31.330067,121.458227,"{""service_num"": ""4006708287"", ""num"": """"}","{""13"": ""中外环"", ""72"": ""配套纯熟"", ""71"": ""便利店"", ""70"": ""银行"", ""68"": ""医院""}","[""中外环"", ""配套纯熟"", ""便利店"", ""银行"", ""医院""]",https://pic4.ajkimg.com/display/xinfang/bbbe2da718e0781e50132ff4c17f6c55/275x206n.jpg,[],上海市宝山区通河路556号
236851,公馆77,上海,11,黄浦区,4,老西门,35,上海黄浦区老西门建国新路77弄,内环内,nan,nan,nan,170-175㎡,12319m²,52534m²,"[{""id"": 17175, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 170}, {""id"": 17181, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 175}]",3/4室,"3室户型,4室户型",nan,nan,nan,nan,[],"{多层,高层}","{多层,高层}",70年,3.2,35%,105,"毛坯,带装修",nan,住宅,nan,3.1元/㎡/月,nan,77,1:0.8,尾盘,尾盘,尾盘,[],[],nan,nan,上海新浦市政开发建设有限公司,民电,民水,31.219293,121.487956,"{""service_num"": ""4006708287"", ""num"": """"}","{""29"": ""装修交付"", ""11"": ""内环内"", ""72"": ""配套纯熟"", ""71"": ""便利店"", ""70"": ""银行"", ""69"": ""学校"", ""68"": ""医院"", ""67"": ""生态绿地"", ""66"": ""公园"", ""65"": ""商业街"", ""64"": ""购物中心"", ""78"": ""大户型"", ""638"": ""民办中学"", ""637"": ""公办中学"", ""636"": ""公办小学"", ""635"": ""民办小学"", ""624"": ""九年一贯制"", ""603"": ""二级园"", ""602"": ""一级园"", ""601"": ""示范园"", ""598"": ""民办幼儿园"", ""597"": ""公办幼儿园"", ""55"": ""小型社区""}","[""装修交付"", ""内环内"", ""配套纯熟"", ""便利店"", ""银行""]",https://pic4.ajkimg.com/display/xinfang/3eba3c61ca644a73cea34776142164cd/275x206n.jpg,[],建国新路77弄2号
241058,海珀旭晖,上海,11,徐汇区,5,龙华,45,上海徐汇区龙华东安路800弄,内环内,nan,nan,nan,289-378㎡,45837m²,171382m²,"[{""id"": 49566, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 289}, {""id"": 49567, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 378}]",4室,4室户型,nan,nan,nan,nan,[],{高层},{高层},70年,2.29,30%,117,带装修,nan,住宅,nan,6元/㎡/月,nan,643,nan,尾盘,尾盘,尾盘,[],[],nan,nan,绿地集团,民电,民水,31.18027255097,121.45814845526,"{""service_num"": ""4006708287"", ""num"": """"}","{""29"": ""装修交付"", ""11"": ""内环内"", ""72"": ""配套纯熟"", ""71"": ""便利店"", ""70"": ""银行"", ""69"": ""学校"", ""68"": ""医院"", ""67"": ""生态绿地"", ""66"": ""公园"", ""65"": ""商业街"", ""64"": ""购物中心"", ""78"": ""大户型"", ""641"": ""寄宿制中学"", ""638"": ""民办中学"", ""637"": ""公办中学"", ""636"": ""公办小学"", ""635"": ""民办小学"", ""624"": ""九年一贯制"", ""603"": ""二级园"", ""602"": ""一级园"", ""601"": ""示范园"", ""600"": ""市级示范园"", ""598"": ""民办幼儿园"", ""597"": ""公办幼儿园"", ""55"": ""小型社区""}","[""装修交付"", ""内环内"", ""配套纯熟"", ""便利店"", ""银行""]",https://pic4.ajkimg.com/display/xinfang/4ca6513d241f1ba6eaa74fe882f4ef10/275x206n.jpg,[],东安路800弄
240822,花园里,上海,11,嘉定区,14,嘉定新城,137,上海嘉定区嘉定新城德富路900弄,外郊环,nan,nan,nan,88-145㎡,31728m²,144155m²,"[{""id"": 172443, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 88}, {""id"": 172442, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 95}, {""id"": 172441, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 127}, {""id"": 435455, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 145}]",2/3/4室,"2室户型,3室户型,4室户型",2019-03-29,2019年03月29日,2019年3月29日,nan,"[""2016-07-07"", ""2011-08-16"", ""2011-09-25"", ""2010-09-23"", ""2019-03-12""]",{高层},{高层},70年,2.9,35%,795,毛坯,nan,住宅,nan,3.1元/㎡/月,nan,1019,1:1.3,尾盘,尾盘,尾盘,"[""嘉定房管(2016)预字0000283号"", ""嘉定房管(2011)预字0414号"", ""嘉定房管(2011)预字0507号"", ""嘉定房管(2010)预字0519号"", ""沪（2019）嘉字不动产权第005876号""]",[],nan,nan,上海鼎申置业发展有限公司,民电,民水,31.349836,121.268051,"""""","{""56"": ""车位充足"", ""76"": ""厨卫全明"", ""74"": ""南北通透"", ""15"": ""外郊环"", ""72"": ""配套纯熟"", ""71"": ""便利店"", ""70"": ""银行"", ""69"": ""学校"", ""68"": ""医院"", ""67"": ""生态绿地"", ""66"": ""公园"", ""65"": ""商业街"", ""64"": ""购物中心"", ""78"": ""大户型"", ""402"": ""玄关入户"", ""401"": ""户型方正"", ""85"": ""主卧套房"", ""638"": ""民办中学"", ""637"": ""公办中学"", ""636"": ""公办小学"", ""624"": ""九年一贯制"", ""603"": ""二级园"", ""602"": ""一级园"", ""601"": ""示范园"", ""598"": ""民办幼儿园"", ""597"": ""公办幼儿园"", ""591"": ""放松限购"", ""263"": ""VR看房""}","[""车位充足"", ""厨卫全明"", ""南北通透"", ""外郊环"", ""配套纯熟""]",https://pic4.ajkimg.com/display/xinfang/e40587ed49f24fca9c1eddaca0f7eaac/275x206n.jpg,[],"嘉定区宝塔路251号,嘉定区胜辛路1288弄1号（地铁11号线白银站1出口）"
239712,中冶尚园,上海,11,宝山区,13,月浦,134,上海宝山区月浦申浦路288弄,郊环外,nan,nan,nan,84-134㎡,78040m²,108700m²,"[{""id"": 20857, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 84}, {""id"": 20860, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 89}, {""id"": 34102, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 115}, {""id"": 34103, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 125}, {""id"": 34104, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 134}]",2/3室,"2室户型,3室户型",nan,nan,nan,nan,[],{小高层},{小高层},70年,1.13,45%,972,"毛坯,带装修",nan,住宅,nan,1.8~1.8元/㎡/月,nan,715,0.74,尾盘,尾盘,尾盘,[],[],nan,nan,上海宝冶集团有限公司,民电,民水,31.432306970886,121.41985859373,"""""","{""53"": ""高绿化率"", ""52"": ""低容积"", ""29"": ""装修交付"", ""16"": ""郊环外"", ""70"": ""银行"", ""69"": ""学校"", ""68"": ""医院"", ""78"": ""大户型"", ""638"": ""民办中学"", ""637"": ""公办中学"", ""636"": ""公办小学"", ""624"": ""九年一贯制"", ""603"": ""二级园"", ""602"": ""一级园"", ""598"": ""民办幼儿园"", ""597"": ""公办幼儿园"", ""591"": ""放松限购""}","[""高绿化率"", ""低容积"", ""装修交付"", ""郊环外"", ""银行""]",https://pic4.ajkimg.com/display/xinfang/0d28938a2f2ac3e2199b7582715aa3f3/275x206n.jpg,[],申浦路258号
410556,同润十里洋坊商铺,上海,11,松江区,15,松江新城,143,上海松江区松江新城车墩镇影佳路123弄,外郊环,50000,50000元/㎡,nan,nan,12000m²,100000m²,[],nan,nan,2011-08-01,2011年08月01日,2011年8月1日,2013年9月30日,[],{},{},40年,nan,40%,749,nan,nan,临街店铺,nan,1.8元/㎡/月,nan,200,nan,尾盘,尾盘,尾盘,[],[],上海垄盛房地产开发有限公司,同润集团,上海永联房地产有限公司,商电,商水,31.012686,121.323286,"{""service_num"": ""4006708287"", ""num"": """"}","{""559"": ""现房"", ""15"": ""外郊环"", ""71"": ""便利店"", ""66"": ""公园"", ""591"": ""放松限购"", ""50"": ""品牌开发商""}","[""现房"", ""外郊环"", ""便利店"", ""公园"", ""放松限购""]",https://pic4.ajkimg.com/display/xinfang/199819d1f02b77774910f4fcd6dfb293/275x206n.jpg,[],徐汇区苍梧路528号
