楼盘ID,楼盘名称,城市名称,城市ID,区域名称,区域ID,子区域名称,子区域ID,地址,环线位置,最新价格,参考价格,房贷计算信息,面积范围,占地面积,建筑面积,房间面积信息,户型文本描述,全部户型,开盘日期,开盘日期备注,开盘时间,交房时间,发证时间,建筑类型,建筑类型,产权年限,容积率,绿化率,规划户数,装修情况,工程进度,物业类型,物业公司,物业管理费,物业特色,车位数,车位比,销售状态,销售标题,租售标题,预售证号,绑定楼栋,开发商,开发商品牌,投资商,供电,供水,百度地图纬度,百度地图经度,400电话,所有标签列表,标签列表,默认图片,规交信息,售楼处地址
248543,旭辉城,上海,11,宝山区,13,罗泾,186,上海宝山区罗泾潘泾路4655弄,外郊环,nan,nan,nan,73-106㎡,99067m²,210321m²,"[{""id"": 77326, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 73}, {""id"": 77324, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 90}, {""id"": 77323, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 106}]",2/3室,"2室户型,3室户型",nan,nan,nan,nan,[],"{多层,小高层,高层}","{多层,小高层,高层}",70年,1.8,35%,3877,"毛坯,带装修",nan,住宅,nan,1.95~1.97元/㎡/月,nan,936,1:0.24,尾盘,尾盘,尾盘,[],[],nan,nan,旭辉集团股份有限公司,民电,民水,31.466562,121.356471,"{""service_num"": ""4006708287"", ""num"": """"}","{""52"": ""低容积"", ""29"": ""装修交付"", ""15"": ""外郊环"", ""72"": ""配套纯熟"", ""70"": ""银行"", ""69"": ""学校"", ""68"": ""医院"", ""65"": ""商业街"", ""64"": ""购物中心"", ""637"": ""公办中学"", ""624"": ""九年一贯制"", ""603"": ""二级园"", ""602"": ""一级园"", ""597"": ""公办幼儿园"", ""591"": ""放松限购"", ""54"": ""大型社区""}","[""低容积"", ""装修交付"", ""外郊环"", ""配套纯熟"", ""银行""]",https://pic4.ajkimg.com/display/xinfang/33ad18a9ff28ea0b8fff6105d1531397/275x206n.jpg,[],宝山潘泾路4777号
525764,谷泰滨江大厦,上海,11,黄浦区,4,董家渡,38,上海黄浦区董家渡中山南路969号,内环内,nan,nan,nan,225-248㎡,5392m²,nan,[],nan,商办户型,2012-11-08,2012年11月08日,2012年11月8日,2003年12月31日,[],{},{},50年,nan,nan,nan,带装修,已竣工，竣工时间：2003-12-31,标准写字楼,上海宜安物业管理有限公司,18元/㎡/月,nan,160,nan,尾盘,尾盘,尾盘,[],[],上海森南房地产发展有限公司,nan,nan,商电,商水,31.217317,121.512362,"{""service_num"": ""4006708287"", ""num"": """"}","{""559"": ""现房"", ""557"": ""项目竣工"", ""29"": ""装修交付"", ""11"": ""内环内"", ""72"": ""配套纯熟"", ""71"": ""便利店"", ""70"": ""银行"", ""68"": ""医院"", ""67"": ""生态绿地"", ""66"": ""公园"", ""65"": ""商业街"", ""64"": ""购物中心""}","[""现房"", ""项目竣工"", ""装修交付"", ""内环内"", ""配套纯熟""]",https://pic4.ajkimg.com/display/xinfang/7c3e906bc484ce5ba3650b45c9f1c174/275x206n.jpg,[],黄浦区中山南路969号
248770,世茂佘山里,上海,11,松江区,15,佘山,160,上海松江区佘山千新公路718弄,外郊环,nan,nan,nan,220-385㎡,94000m²,94000m²,"[{""id"": 109954, ""rooms"": 5, ""room_alias"": ""五室"", ""area"": 385}]",别墅,别墅户型,nan,nan,nan,nan,"[""2015-10-13"", ""2013-11-20""]",{},{},nan,nan,40%,348,"毛坯,简装修",nan,住宅,牡丹江嘉博仁物业管理有限公司,nan,nan,698,1:2,尾盘,尾盘,尾盘,"[""沪房地松字2015第028654号"", ""松江房管(2013)预字0299号""]",[],牡丹江睿智营销企划有限公司,世茂房地产,上海世盈投资管理有限公司,民电,民水,31.102729,121.181614,"""""","{""56"": ""车位充足"", ""53"": ""高绿化率"", ""29"": ""装修交付"", ""15"": ""外郊环"", ""72"": ""配套纯熟"", ""71"": ""便利店"", ""70"": ""银行"", ""69"": ""学校"", ""68"": ""医院"", ""67"": ""生态绿地"", ""66"": ""公园"", ""65"": ""商业街"", ""64"": ""购物中心"", ""78"": ""大户型"", ""638"": ""民办中学"", ""603"": ""二级园"", ""598"": ""民办幼儿园"", ""597"": ""公办幼儿园"", ""591"": ""放松限购"", ""50"": ""品牌开发商""}","[""车位充足"", ""高绿化率"", ""装修交付"", ""外郊环"", ""配套纯熟""]",https://pic4.ajkimg.com/display/xinfang/479d5c96585bc6371a531d9e23106330/275x206n.jpg,[],千新公路718弄
248611,绿地海珀璞晖,上海,11,杨浦区,9,新江湾城,95,上海杨浦区新江湾城国泓路818弄,中外环,nan,nan,nan,96-125㎡,22000m²,65891m²,"[{""id"": 76291, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 96}, {""id"": 76292, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 98}, {""id"": 76293, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 125}]",3室,3室户型,nan,nan,nan,nan,[],{小高层},{小高层},70年,2,35%,408,带装修,nan,住宅,nan,4.8元/㎡/月,nan,408,1:1,尾盘,尾盘,尾盘,[],[],nan,nan,nan,民电,民水,31.32853788299,121.51804096131,"{""service_num"": ""4006708287"", ""num"": """"}","{""29"": ""装修交付"", ""13"": ""中外环"", ""72"": ""配套纯熟"", ""71"": ""便利店"", ""70"": ""银行"", ""69"": ""学校"", ""68"": ""医院"", ""67"": ""生态绿地"", ""66"": ""公园"", ""65"": ""商业街"", ""64"": ""购物中心"", ""78"": ""大户型"", ""638"": ""民办中学"", ""637"": ""公办中学"", ""636"": ""公办小学"", ""624"": ""九年一贯制"", ""603"": ""二级园"", ""602"": ""一级园"", ""601"": ""示范园"", ""598"": ""民办幼儿园"", ""597"": ""公办幼儿园""}","[""装修交付"", ""中外环"", ""配套纯熟"", ""便利店"", ""银行""]",https://pic4.ajkimg.com/display/xinfang/ff973622ca6c7563434e6e309bdf7a9b/275x206n.jpg,[],杨浦新江湾城国泓路818弄
248487,紫菱苑,上海,11,金山区,18,朱泾,153,上海金山区朱泾金龙新街与塘园路交界,郊环外,nan,nan,nan,94-122㎡,20809m²,35744.48m²,"[{""id"": 90237, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 94.06}, {""id"": 90236, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 99.85}, {""id"": 90235, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 116.63}, {""id"": 90239, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 120.95}, {""id"": 90238, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 122.41}]",2/3室,"2室户型,3室户型",nan,nan,nan,nan,[],{小高层},{小高层},70年,1.4,50%,238,毛坯,nan,住宅,nan,3元/㎡/月,nan,150,1:1,售罄,售罄,售罄,[],[],nan,nan,nan,民电,民水,30.891822,121.170064,"{""service_num"": ""4006708287"", ""num"": """"}","{""53"": ""高绿化率"", ""52"": ""低容积"", ""16"": ""郊环外"", ""72"": ""配套纯熟"", ""71"": ""便利店"", ""70"": ""银行"", ""69"": ""学校"", ""68"": ""医院"", ""67"": ""生态绿地"", ""66"": ""公园"", ""65"": ""商业街"", ""64"": ""购物中心"", ""78"": ""大户型"", ""637"": ""公办中学"", ""636"": ""公办小学"", ""603"": ""二级园"", ""601"": ""示范园"", ""598"": ""民办幼儿园"", ""597"": ""公办幼儿园"", ""591"": ""放松限购"", ""55"": ""小型社区""}","[""高绿化率"", ""低容积"", ""郊环外"", ""配套纯熟"", ""便利店""]",https://pic4.ajkimg.com/display/xinfang/5972e9e7355b8756bc43b6ff28342ada/275x206n.jpg,[],朱泾镇金龙新街与塘园路交汇处
248664,招商虹桥华府,上海,11,青浦区,19,徐泾,164,上海青浦区徐泾沪青平公路1489弄,外郊环,nan,nan,nan,82-160㎡,住宅：48200m² 别墅：48200m²,住宅：72300m² 别墅：72300m²,"[{""id"": 80442, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 82}, {""id"": 80443, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 93}, {""id"": 80440, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 160}, {""id"": 80441, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 160}]",别墅、2/3室,"2室户型,3室户型,别墅户型",nan,nan,nan,nan,[],"{小高层,叠加别墅}","{小高层,叠加别墅}",住宅：70年 别墅：70年,住宅：1.5,住宅：35% 别墅：35%,住宅：672 别墅：672,住宅：毛坯 别墅：毛坯,nan,住宅,上海招商局物业管理有限公司,住宅：2.98元/㎡/月,nan,住宅：523 别墅：523,nan,尾盘,尾盘,尾盘,[],[],nan,nan,上海招商置业有限公司,住宅：民电,住宅：民水,31.17865693595,121.31487189566,"""""","{""52"": ""低容积"", ""15"": ""外郊环"", ""72"": ""配套纯熟"", ""71"": ""便利店"", ""70"": ""银行"", ""69"": ""学校"", ""68"": ""医院"", ""67"": ""生态绿地"", ""66"": ""公园"", ""65"": ""商业街"", ""64"": ""购物中心"", ""78"": ""大户型"", ""637"": ""公办中学"", ""603"": ""二级园"", ""598"": ""民办幼儿园"", ""597"": ""公办幼儿园"", ""591"": ""放松限购""}","[""低容积"", ""外郊环"", ""配套纯熟"", ""便利店"", ""银行""]",https://pic4.ajkimg.com/display/xinfang/063b064dd3131e1c89e2c804cba5ef52/275x206n.jpg,[],青浦沪青平公路1489弄
4213859,华榭A区,上海,11,徐汇区,5,徐家汇,41,上海徐汇区徐家汇辛耕路81弄永新世纪11-12号楼,内环内,,,,,15000m²,38000m²,[],,,2002-03-22,,2002年,2003年,[],"{高层,超高层}",高层、超高层,70年,3.6,30%,212,带装修,,住宅,合景悠活,,,102,,售罄,售罄,售罄,[],[],中南,,上海宏伊置业有限公司,民电,民水,31.216944,121.443477,"{""service_num"": ""4006708287"", ""num"": """"}","{""29"": ""装修交付"", ""11"": ""内环内"", ""72"": ""配套纯熟"", ""71"": ""便利店"", ""70"": ""银行"", ""69"": ""学校"", ""68"": ""医院"", ""67"": ""生态绿地"", ""66"": ""公园"", ""65"": ""商业街"", ""64"": ""购物中心"", ""641"": ""寄宿制中学"", ""638"": ""民办中学"", ""637"": ""公办中学"", ""636"": ""公办小学"", ""635"": ""民办小学"", ""624"": ""九年一贯制"", ""603"": ""二级园"", ""602"": ""一级园"", ""601"": ""示范园"", ""600"": ""市级示范园"", ""598"": ""民办幼儿园"", ""597"": ""公办幼儿园"", ""55"": ""小型社区""}","[""装修交付"", ""内环内"", ""配套纯熟"", ""便利店"", ""银行""]",https://pic4.ajkimg.com/display/xinfang/a1e6c6865bb60f1921c56b2167443ccc/275x206n.jpg,[],辛耕路81弄11号楼30层
2483375,天星辰家园,上海,11,杨浦区,9,新江湾城,95,上海杨浦区新江湾城国晓路333弄,中外环,630元/㎡,630元/㎡,首付555万，月供133444元,311-360㎡,40089m²,75285.3m²,"[{""id"": 732637, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 311}, {""id"": 732623, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 325}, {""id"": 732638, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 337}, {""id"": 732643, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 356}]",别墅,别墅户型,2002-05-14,2023年01月04日,2002年,2003年,"[""2022-12-16""]",超高层,叠加别墅,70年,1.2,30%,101,带装修,已竣工，竣工时间：2021-10-31,别墅,雅生活服务,11.4元/㎡/月,,404,4:1,售罄,售罄,售罄,"[""杨浦房管（2022）第20220322号""]","[""1#、2#、3#、4#、5#、6#、7#、8#、9#、10#""]",中梁,,庆隆（集团）有限公司,民电,民水,31.313345,121.507974,"{""service_num"": ""4006708287"", ""num"": ""40449""}","{""557"": ""项目竣工"", ""29"": ""装修交付"", ""9"": ""轨交房"", ""13"": ""中外环"", ""276"": ""一房一价"", ""72"": ""配套纯熟"", ""71"": ""便利店"", ""70"": ""银行"", ""69"": ""学校"", ""68"": ""医院"", ""67"": ""生态绿地"", ""66"": ""公园"", ""65"": ""商业街"", ""64"": ""购物中心"", ""78"": ""大户型"", ""638"": ""民办中学"", ""637"": ""公办中学"", ""636"": ""公办小学"", ""624"": ""九年一贯制"", ""603"": ""二级园"", ""602"": ""一级园"", ""601"": ""示范园"", ""598"": ""民办幼儿园"", ""597"": ""公办幼儿园"", ""558"": ""22年七批次"", ""541"": ""3D沙盘"", ""421"": ""无需摇号"", ""55"": ""小型社区""}","[""项目竣工"", ""装修交付"", ""轨交房"", ""中外环"", ""一房一价""]",https://pic4.ajkimg.com/display/xinfang/de5ac58ff73cbac1e9cdbf0006075f2b/275x206n.jpg,"[{""id"": ""7181719"", ""loupan_id"": ""383170"", ""station_id"": ""2881"", ""subway_id"": ""54"", ""city_id"": ""11"", ""distance"": ""768米"", ""status"": ""1"", ""last_update_time"": ""1774209758"", ""is_rail_loupan"": ""1"", ""subway_name"": ""10号线"", ""station_name"": ""殷高东路"", ""distance_raw"": ""768""}, {""id"": ""7181717"", ""loupan_id"": ""383170"", ""station_id"": ""2880"", ""subway_id"": ""54"", ""city_id"": ""11"", ""distance"": ""1089米"", ""status"": ""1"", ""last_update_time"": ""1774209758"", ""is_rail_loupan"": ""1"", ""subway_name"": ""10号线"", ""station_name"": ""新江湾城"", ""distance_raw"": ""1089""}]",杨浦区国晓路333弄
8819490,绿地梅林洲,上海,11,静安区,2,大宁绿地,120,上海静安区大宁绿地江场路1377弄,内环内,,,,,31420m²,127286m²,[],,,2002-08-23,2013年12月20日,2002年,2003年,[],{},,50年,,20%,46,毛坯,,标准写字楼,新城悦服务,22元/㎡/月,,846,,售罄,售罄,售罄,[],[],保利,绿地控股,,商电,商水,31.311916,121.469447,"""""","{""559"": ""现房"", ""11"": ""内环内"", ""70"": ""银行"", ""64"": ""购物中心"", ""55"": ""小型社区"", ""50"": ""品牌开发商""}","[""现房"", ""内环内"", ""银行"", ""购物中心"", ""小型社区""]",https://pic4.ajkimg.com/display/xinfang/87b9de98d73ca277f11b92f1aca6220f/275x206n.jpg,[],静安区江场路1397弄
9865574,万园B区,上海,11,金山区,18,金山新城,196,上海金山区金山新城卫零北路799弄,郊环外,,,,88-265㎡,住宅：110000m² 别墅：110000m²,住宅：170000m² 别墅：170000m²,"[{""id"": 21176, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 88.3}, {""id"": 21184, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 89}, {""id"": 21185, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 89}, {""id"": 21178, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 89.38}, {""id"": 21177, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 88.87}, {""id"": 21181, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 134}, {""id"": 54591, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 155.96}, {""id"": 54593, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 162.5}]",别墅、2/3/4室,"2室户型,3室户型,4室户型,别墅户型",2002-08-05,,2002年,2003年,[],"{多层,小高层,联排别墅,双拼别墅}",住宅：多层、小高层 别墅：联排别墅、双拼别墅,住宅：70年 别墅：70年,住宅：1.2 别墅：1.3,住宅：35% 别墅：35%,住宅：1300 别墅：1300,住宅：毛坯 别墅：毛坯,,住宅,金地智慧服务,住宅：1.32元/㎡/月 别墅：2元/㎡/月,,住宅：1030 别墅：1030,,售罄,售罄,售罄,[],[],象屿,,上海泉金房地产开发有限公司,住宅：民电,住宅：民水,30.75372,121.356564,"{""service_num"": ""4006708287"", ""num"": """"}","{""31"": ""大平层"", ""16"": ""郊环外"", ""72"": ""配套纯熟"", ""71"": ""便利店"", ""70"": ""银行"", ""69"": ""学校"", ""68"": ""医院"", ""67"": ""生态绿地"", ""65"": ""商业街"", ""64"": ""购物中心"", ""78"": ""大户型"", ""638"": ""民办中学"", ""637"": ""公办中学"", ""636"": ""公办小学"", ""604"": ""三级园"", ""603"": ""二级园"", ""602"": ""一级园"", ""598"": ""民办幼儿园"", ""597"": ""公办幼儿园"", ""591"": ""放松限购""}","[""大平层"", ""郊环外"", ""配套纯熟"", ""便利店"", ""银行""]",https://pic4.ajkimg.com/display/xinfang/c4029d38152aaab0f991d2581f194ee9/275x206n.jpg,[],金山区卫零北路799弄
