楼盘ID,楼盘名称,城市名称,城市ID,区域名称,区域ID,子区域名称,子区域ID,地址,环线位置,最新价格,参考价格,房贷计算信息,面积范围,占地面积,建筑面积,房间面积信息,户型文本描述,全部户型,开盘日期,开盘日期备注,开盘时间,交房时间,发证时间,建筑类型,建筑类型,产权年限,容积率,绿化率,规划户数,装修情况,工程进度,物业类型,物业公司,物业管理费,物业特色,车位数,车位比,销售状态,销售标题,租售标题,预售证号,绑定楼栋,开发商,开发商品牌,投资商,供电,供水,百度地图纬度,百度地图经度,400电话,所有标签列表,标签列表,默认图片,规交信息,售楼处地址
263931,地铁绿城杨柳郡,杭州,18,上城区,1802,城东新城,5133,杭州上城区城东新城九和路516号,nan,nan,nan,nan,42-148㎡,300000m²,800000m²,"[{""id"": 495733, ""rooms"": 1, ""room_alias"": ""一室"", ""area"": 42}, {""id"": 495737, ""rooms"": 1, ""room_alias"": ""一室"", ""area"": 44}, {""id"": 495729, ""rooms"": 1, ""room_alias"": ""一室"", ""area"": 45}, {""id"": 495735, ""rooms"": 1, ""room_alias"": ""一室"", ""area"": 47}, {""id"": 495743, ""rooms"": 1, ""room_alias"": ""一室"", ""area"": 47}, {""id"": 495749, ""rooms"": 1, ""room_alias"": ""一室"", ""area"": 47}, {""id"": 495741, ""rooms"": 1, ""room_alias"": ""一室"", ""area"": 50}, {""id"": 495753, ""rooms"": 1, ""room_alias"": ""一室"", ""area"": 66}, {""id"": 495755, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 76}, {""id"": 495760, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 85}, {""id"": 144191, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 90}, {""id"": 495766, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 95}, {""id"": 495771, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 98}, {""id"": 144192, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 100}, {""id"": 495801, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 110}, {""id"": 144194, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 120}, {""id"": 170048, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 134}, {""id"": 495804, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 138}, {""id"": 144196, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 140}, {""id"": 200275, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 148}]",1/2/3/4室,"1室户型,2室户型,3室户型,4室户型",nan,nan,nan,nan,"[""2019-09-25"", ""2018-07-19"", ""2018-07-19"", ""2018-01-10"", ""2017-06-16"", ""2018-10-23"", ""2017-09-04""]",{高层},{高层},70年,2.5,39%,3537,带装修,nan,住宅,绿城物业服务集团有限公司,3.5元/㎡/月,nan,4800,1:1.4,售罄,售罄,售罄,"[""杭售许字（2019）第000096号"", ""杭售许字(2016)第000047号"", ""杭售许字(2016)第000021号"", ""杭售许字(2015)第000177号"", ""杭售许字(2017)第000038号"", ""杭售许字(2018)第000098号"", ""杭售许字(2017)第000064号""]","[""B5#、B6#"", ""H11#、I12#、I13#、I14#、M4#、M8#""]",nan,nan,绿城房地产集团有限公司,民电,民水,30.307155,120.245978,"""""","{""56"": ""车位充足"", ""53"": ""高绿化率"", ""31"": ""大平层"", ""29"": ""装修交付"", ""9"": ""轨交房"", ""72"": ""配套纯熟"", ""71"": ""便利店"", ""70"": ""银行"", ""69"": ""学校"", ""68"": ""医院"", ""67"": ""生态绿地"", ""66"": ""公园"", ""65"": ""商业街"", ""64"": ""购物中心"", ""79"": ""小户型"", ""78"": ""大户型"", ""637"": ""公办中学"", ""636"": ""公办小学"", ""606"": ""省一级园"", ""598"": ""民办幼儿园"", ""597"": ""公办幼儿园"", ""54"": ""大型社区""}","[""车位充足"", ""高绿化率"", ""大平层"", ""装修交付"", ""轨交房""]",https://pic4.ajkimg.com/display/xinfang/02e7a7c16417b3de6f4eb8ad3637c936/275x206n.jpg,"[{""id"": ""7214468"", ""loupan_id"": ""263931"", ""station_id"": ""2634"", ""subway_id"": ""40"", ""city_id"": ""18"", ""distance"": ""327米"", ""status"": ""1"", ""last_update_time"": ""1774211229"", ""is_rail_loupan"": ""1"", ""subway_name"": ""1号线"", ""station_name"": ""七堡"", ""distance_raw"": ""327""}]",江干区九和路516号
238469,华元蒙卡岸,杭州,18,余杭区,1808,闲林,1922,杭州余杭区闲林五常大道(沿山河东侧，位于西溪湿地西面约1公里处),nan,nan,nan,nan,90-133㎡,58103m²,127000m²,"[{""id"": 33601, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 90}, {""id"": 53558, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 90}, {""id"": 15863, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 118}, {""id"": 15865, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 120}, {""id"": 15862, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 128}, {""id"": 15861, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 133}]",2/3室,"2室户型,3室户型",nan,nan,nan,nan,[],"{小高层,高层}","{小高层,高层}",70年,2.2,30%,1062,毛坯,nan,住宅,杭州华元物业管理有限公司,1.6元/㎡/月,nan,1074,1:1.01,售罄,售罄,售罄,[],[],nan,nan,杭州华元房地产集团有限公司,民电,民水,30.247225,120.018012,"""""","{""56"": ""车位充足"", ""9"": ""轨交房"", ""10"": ""多轨交"", ""72"": ""配套纯熟"", ""70"": ""银行"", ""69"": ""学校"", ""68"": ""医院"", ""66"": ""公园"", ""65"": ""商业街"", ""64"": ""购物中心"", ""78"": ""大户型"", ""638"": ""民办中学"", ""636"": ""公办小学"", ""635"": ""民办小学"", ""624"": ""九年一贯制"", ""606"": ""省一级园"", ""604"": ""三级园"", ""603"": ""二级园"", ""598"": ""民办幼儿园"", ""597"": ""公办幼儿园""}","[""车位充足"", ""轨交房"", ""多轨交"", ""配套纯熟"", ""银行""]",https://pic4.ajkimg.com/display/xinfang/b91fde3dbc1270a40a4ae94ae846bc46/275x206n.jpg,"[{""id"": ""7214502"", ""loupan_id"": ""238469"", ""station_id"": ""10203"", ""subway_id"": ""1010"", ""city_id"": ""18"", ""distance"": ""867米"", ""status"": ""1"", ""last_update_time"": ""1774211229"", ""is_rail_loupan"": ""1"", ""subway_name"": ""3号线"", ""station_name"": ""高教路"", ""distance_raw"": ""867""}, {""id"": ""7267127"", ""loupan_id"": ""238469"", ""station_id"": ""122103"", ""subway_id"": ""12109"", ""city_id"": ""18"", ""distance"": ""884米"", ""status"": ""1"", ""last_update_time"": ""1774211227"", ""is_rail_loupan"": ""1"", ""subway_name"": ""12号线"", ""station_name"": ""高教路站"", ""distance_raw"": ""884""}, {""id"": ""7212526"", ""loupan_id"": ""238469"", ""station_id"": ""120524"", ""subway_id"": ""1010"", ""city_id"": ""18"", ""distance"": ""1016米"", ""status"": ""1"", ""last_update_time"": ""1774211230"", ""is_rail_loupan"": ""1"", ""subway_name"": ""3号线"", ""station_name"": ""全丰"", ""distance_raw"": ""1016""}]",天目山路248号(华鸿大厦B座华元接待中心)
245791,平瑞瑞和园,杭州,18,余杭区,1808,良渚,1924,杭州余杭区良渚良港村良周路南侧，东西大道东侧,nan,nan,nan,nan,81-151㎡,22291m²,61697.53m²,"[{""id"": 54216, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 88.5}, {""id"": 146409, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 81.06}, {""id"": 146400, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 88.21}, {""id"": 54212, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 89.5}, {""id"": 146410, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 102.71}, {""id"": 146412, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 109.27}, {""id"": 146411, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 112.24}, {""id"": 146413, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 125.05}, {""id"": 146414, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 125.05}, {""id"": 146415, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 150.58}]",2/3/4室,"2室户型,3室户型,4室户型",nan,nan,nan,nan,[],{小高层},{小高层},70年,2,30%,397,毛坯,nan,住宅,nan,2.29元/㎡/月,nan,389,1:1,售罄,售罄,售罄,[],[],nan,nan,平瑞房地产,民电,民水,30.373983,120.058041,"{""service_num"": ""4006708287"", ""num"": """"}","{""57"": ""人车分流"", ""72"": ""配套纯熟"", ""71"": ""便利店"", ""70"": ""银行"", ""69"": ""学校"", ""68"": ""医院"", ""65"": ""商业街"", ""64"": ""购物中心"", ""78"": ""大户型"", ""637"": ""公办中学"", ""636"": ""公办小学"", ""603"": ""二级园"", ""598"": ""民办幼儿园"", ""597"": ""公办幼儿园""}","[""人车分流"", ""配套纯熟"", ""便利店"", ""银行"", ""学校""]",https://pic4.ajkimg.com/display/xinfang/b228b11547087dbe5bdccdeef42ee713/275x206n.jpg,[],良渚镇良港村良周路南侧，东西大道东侧
238513,德信早城,杭州,18,钱塘区,20267,金沙湖,20270,杭州钱塘区金沙湖学林街(星河北路与学林街交叉口),nan,nan,nan,nan,60-137㎡,nan,nan,"[{""id"": 15793, ""rooms"": 1, ""room_alias"": ""一室"", ""area"": 60}, {""id"": 15796, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 73}, {""id"": 15788, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 88}, {""id"": 15792, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 117}, {""id"": 15798, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 117}, {""id"": 15785, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 89}, {""id"": 15801, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 123}, {""id"": 15789, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 131}, {""id"": 15791, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 137}]",1/2/3/4室,"1室户型,2室户型,3室户型,4室户型",nan,nan,nan,nan,[],{高层},{高层},住宅：70年 别墅：70年,住宅：2.8,住宅：30% 别墅：30%,住宅：950 别墅：950,住宅：毛坯 别墅：毛坯,nan,住宅,nan,住宅：1.9元/㎡/月,nan,住宅：1587 别墅：1587,nan,售罄,售罄,售罄,[],[],nan,nan,浙江德信金沙置业有限公司,住宅：民电,住宅：民水,30.322165743964,120.3661184798,"""""","{""72"": ""配套纯熟"", ""71"": ""便利店"", ""70"": ""银行"", ""69"": ""学校"", ""68"": ""医院"", ""66"": ""公园"", ""65"": ""商业街"", ""64"": ""购物中心"", ""79"": ""小户型"", ""78"": ""大户型"", ""638"": ""民办中学"", ""637"": ""公办中学"", ""636"": ""公办小学"", ""635"": ""民办小学"", ""624"": ""九年一贯制"", ""598"": ""民办幼儿园"", ""597"": ""公办幼儿园""}","[""配套纯熟"", ""便利店"", ""银行"", ""学校"", ""医院""]",https://pic4.ajkimg.com/display/xinfang/d2c0335719e1950472d564516289fafc/275x206n.jpg,[],下沙开发区学林街(星河北路与学林街交叉口)
410306,湖景居,杭州,18,钱塘区,20267,金沙湖,20270,杭州钱塘区金沙湖天城东路820号,nan,nan,nan,nan,nan,18300m²,59300m²,[],nan,nan,2016-06-03,2016年06月03日,2016年6月3日,2016年12月31日,"[""2020-12-18"", ""2019-10-12"", ""2016-04-28""]",{高层},{高层},70年,1.63,30%,490,毛坯,nan,住宅,浙江开元物业管理股份有限公司,2.25元/㎡/月,nan,372,1:0.8,售罄,售罄,售罄,"[""杭现售字(2020)第0039004号"", ""杭售许字（2019）第003020号"", ""杭售许字(2016)第003005号""]","[""3#"", ""4#、5#"", ""1#、2#""]",杭州濠江房地产开发有限公司,nan,澳门万城置业投资有限公司,民电,民水,30.309836,120.322054,"""""","{""559"": ""现房"", ""52"": ""低容积"", ""9"": ""轨交房"", ""69"": ""学校"", ""68"": ""医院"", ""638"": ""民办中学"", ""637"": ""公办中学"", ""636"": ""公办小学"", ""624"": ""九年一贯制"", ""606"": ""省一级园"", ""598"": ""民办幼儿园"", ""597"": ""公办幼儿园""}","[""现房"", ""低容积"", ""轨交房"", ""学校"", ""医院""]",https://pic4.ajkimg.com/display/xinfang/4c23c259c25d5672e165531893b859c4/275x206n.jpg,"[{""id"": ""7213397"", ""loupan_id"": ""410306"", ""station_id"": ""2639"", ""subway_id"": ""40"", ""city_id"": ""18"", ""distance"": ""1475米"", ""status"": ""1"", ""last_update_time"": ""1774211228"", ""is_rail_loupan"": ""1"", ""subway_name"": ""1号线"", ""station_name"": ""金沙湖"", ""distance_raw"": ""1475""}]",下沙七格路与天城东路交叉口(项目现场)
245353,青山湖81号,杭州,18,临安区,16784,青山湖科技城,24983,杭州临安区青山湖科技城青山湖泥山湾圣园路（森林湖山庄会所旁）,nan,nan,nan,nan,372-409㎡,住宅：90000m² 别墅：90000m²,住宅：27000m² 别墅：27000m²,"[{""id"": 47218, ""rooms"": 1, ""room_alias"": ""一室"", ""area"": 371.54}, {""id"": 47219, ""rooms"": 1, ""room_alias"": ""一室"", ""area"": 371.54}, {""id"": 47221, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 409.45}, {""id"": 47223, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 409.45}, {""id"": 47220, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 371.54}, {""id"": 47222, ""rooms"": 5, ""room_alias"": ""五室"", ""area"": 409.45}]",1/2/3/4/5室,"1室户型,2室户型,3室户型,4室户型,5室户型",nan,nan,nan,nan,[],{多层},{多层},住宅：70年 别墅：70年,住宅：0.3,住宅：60% 别墅：60%,住宅：81 别墅：81,住宅：毛坯 别墅：毛坯,nan,住宅,绿城物业服务集团有限公司,住宅：4元/㎡/月,nan,nan,住宅：1:2 别墅：1:2,售罄,售罄,售罄,[],[],南阳森林半岛置业有限公司,建业地产,澳洲科纳实业,住宅：民电,住宅：民水,30.242917188435,119.77341731624,"""""","{""57"": ""人车分流"", ""56"": ""车位充足"", ""53"": ""高绿化率"", ""52"": ""低容积"", ""63"": ""旅游地产"", ""70"": ""银行"", ""66"": ""公园"", ""78"": ""大户型"", ""598"": ""民办幼儿园"", ""55"": ""小型社区"", ""50"": ""品牌开发商""}","[""人车分流"", ""车位充足"", ""高绿化率"", ""低容积"", ""旅游地产""]",https://pic4.ajkimg.com/display/xinfang/8413289dd3521012b98badaf2734f8d8/275x206n.jpg,[],临安市青山湖泥山湾圣园路森林湖山庄会所二楼
412902,合诚之江商务中心,杭州,18,西湖区,1804,之江,24206,杭州西湖区之江之江转塘象山路与鸡山路交叉口西南角,nan,nan,nan,nan,nan,17624m²,45798m²,[],nan,nan,nan,nan,nan,nan,[],{},{},40年,nan,25%,nan,nan,nan,标准写字楼,杭州创诚物业有限公司,2.5元/㎡/月,nan,nan,nan,售罄,售罄,售罄,[],[],nan,nan,nan,商电,商水,30.147616,120.078961,"""""","{""9"": ""轨交房"", ""10"": ""多轨交""}","[""轨交房"", ""多轨交""]",https://pic4.ajkimg.com/display/xinfang/376e229b3db189c050327066090edbd8/275x206n.jpg,"[{""id"": ""7267432"", ""loupan_id"": ""412902"", ""station_id"": ""122113"", ""subway_id"": ""12109"", ""city_id"": ""18"", ""distance"": ""261米"", ""status"": ""1"", ""last_update_time"": ""1774211231"", ""is_rail_loupan"": ""1"", ""subway_name"": ""12号线"", ""station_name"": ""霞鸣街站"", ""distance_raw"": ""261""}, {""id"": ""7299245"", ""loupan_id"": ""412902"", ""station_id"": ""4864"", ""subway_id"": ""143"", ""city_id"": ""18"", ""distance"": ""264米"", ""status"": ""1"", ""last_update_time"": ""1774211227"", ""is_rail_loupan"": ""1"", ""subway_name"": ""6号线"", ""station_name"": ""霞鸣街"", ""distance_raw"": ""264""}]",转塘象山路与鸡山路交叉口西南角
411007,大家绿城金麟府,杭州,18,拱墅区,1801,上塘,5129,杭州拱墅区上塘上塘路与湖州街交界处东南角,nan,nan,nan,nan,115-142㎡,50000m²,193000m²,"[{""id"": 200078, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 115}, {""id"": 200080, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 125}, {""id"": 237954, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 141}, {""id"": 237846, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 142}]",3/4室,"3室户型,4室户型",nan,nan,nan,nan,[],{高层},{高层},70年,2.7,30%,928,带装修,nan,住宅,绿城物业服务集团有限公司,4.8元/㎡/月,nan,1400,1:1.5,售罄,售罄,售罄,"[""杭售许字(2016)第000096号"", ""杭售许字(2017)第000009号"", ""杭售许字(2017)第000077号""]",[],nan,nan,杭州市城建开发集团有限公司 绿城房地产集团有限公司,民电,民水,30.330557305585,120.15300200225,"""""","{""56"": ""车位充足"", ""29"": ""装修交付"", ""9"": ""轨交房"", ""10"": ""多轨交"", ""72"": ""配套纯熟"", ""71"": ""便利店"", ""70"": ""银行"", ""69"": ""学校"", ""68"": ""医院"", ""65"": ""商业街"", ""64"": ""购物中心"", ""78"": ""大户型"", ""638"": ""民办中学"", ""637"": ""公办中学"", ""636"": ""公办小学"", ""635"": ""民办小学"", ""624"": ""九年一贯制"", ""606"": ""省一级园"", ""603"": ""二级园"", ""598"": ""民办幼儿园"", ""597"": ""公办幼儿园""}","[""车位充足"", ""装修交付"", ""轨交房"", ""多轨交"", ""配套纯熟""]",https://pic4.ajkimg.com/display/xinfang/f8438aef6d580507862c6a4ad357c438/275x206n.jpg,"[{""id"": ""7267064"", ""loupan_id"": ""411007"", ""station_id"": ""122124"", ""subway_id"": ""12110"", ""city_id"": ""18"", ""distance"": ""626米"", ""status"": ""1"", ""last_update_time"": ""1774211227"", ""is_rail_loupan"": ""1"", ""subway_name"": ""15号线"", ""station_name"": ""蔡马站"", ""distance_raw"": ""626""}, {""id"": ""7212640"", ""loupan_id"": ""411007"", ""station_id"": ""4837"", ""subway_id"": ""142"", ""city_id"": ""18"", ""distance"": ""948米"", ""status"": ""1"", ""last_update_time"": ""1774211230"", ""is_rail_loupan"": ""1"", ""subway_name"": ""5号线"", ""station_name"": ""拱宸桥东"", ""distance_raw"": ""948""}, {""id"": ""7267062"", ""loupan_id"": ""411007"", ""station_id"": ""122125"", ""subway_id"": ""12110"", ""city_id"": ""18"", ""distance"": ""1230米"", ""status"": ""1"", ""last_update_time"": ""1774211227"", ""is_rail_loupan"": ""1"", ""subway_name"": ""15号线"", ""station_name"": ""七古登站"", ""distance_raw"": ""1230""}, {""id"": ""7267063"", ""loupan_id"": ""411007"", ""station_id"": ""122123"", ""subway_id"": ""12110"", ""city_id"": ""18"", ""distance"": ""1412米"", ""status"": ""1"", ""last_update_time"": ""1774211227"", ""is_rail_loupan"": ""1"", ""subway_name"": ""15号线"", ""station_name"": ""瓜山站"", ""distance_raw"": ""1412""}]",上塘路与湖州街交界处
409434,碧桂园西江月,杭州,18,拱墅区,1801,申花,5130,杭州拱墅区申花学院北路与润园街交叉口东侧,nan,nan,nan,nan,89-139㎡,72816m²,18728m²,"[{""id"": 188147, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 89}, {""id"": 188143, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 131}, {""id"": 188142, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 132}, {""id"": 188141, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 139}]",3/4室,"3室户型,4室户型",nan,nan,nan,nan,[],"{多层,高层}","{多层,高层}",70年,2.4,30%,351,带装修,nan,住宅,nan,nan,nan,nan,1:1.2,售罄,售罄,售罄,"[""杭售许字(2016)第000091号"", ""杭售许字(2016)第000074号"", ""杭售许字(2017)第000035号""]",[],nan,nan,nan,民电,民水,30.315642475591,120.1200809333,"{""service_num"": ""4006708287"", ""num"": """"}","{""56"": ""车位充足"", ""29"": ""装修交付"", ""9"": ""轨交房"", ""10"": ""多轨交"", ""71"": ""便利店"", ""78"": ""大户型"", ""638"": ""民办中学"", ""637"": ""公办中学"", ""636"": ""公办小学"", ""635"": ""民办小学"", ""624"": ""九年一贯制"", ""606"": ""省一级园"", ""598"": ""民办幼儿园"", ""597"": ""公办幼儿园""}","[""车位充足"", ""装修交付"", ""轨交房"", ""多轨交"", ""便利店""]",https://pic4.ajkimg.com/display/xinfang/45e101bbfb75d7a50977e85af0b678e4/275x206n.jpg,"[{""id"": ""7211729"", ""loupan_id"": ""409434"", ""station_id"": ""4835"", ""subway_id"": ""142"", ""city_id"": ""18"", ""distance"": ""698米"", ""status"": ""1"", ""last_update_time"": ""1774211229"", ""is_rail_loupan"": ""1"", ""subway_name"": ""5号线"", ""station_name"": ""和睦"", ""distance_raw"": ""698""}, {""id"": ""7213604"", ""loupan_id"": ""409434"", ""station_id"": ""120461"", ""subway_id"": ""12038"", ""city_id"": ""18"", ""distance"": ""764米"", ""status"": ""1"", ""last_update_time"": ""1774211228"", ""is_rail_loupan"": ""1"", ""subway_name"": ""10号线"", ""station_name"": ""和睦"", ""distance_raw"": ""764""}, {""id"": ""7211726"", ""loupan_id"": ""409434"", ""station_id"": ""4834"", ""subway_id"": ""142"", ""city_id"": ""18"", ""distance"": ""1038米"", ""status"": ""1"", ""last_update_time"": ""1774211229"", ""is_rail_loupan"": ""1"", ""subway_name"": ""5号线"", ""station_name"": ""萍水街"", ""distance_raw"": ""1038""}, {""id"": ""7213599"", ""loupan_id"": ""409434"", ""station_id"": ""120467"", ""subway_id"": ""12038"", ""city_id"": ""18"", ""distance"": ""1043米"", ""status"": ""1"", ""last_update_time"": ""1774211228"", ""is_rail_loupan"": ""1"", ""subway_name"": ""10号线"", ""station_name"": ""花园岗"", ""distance_raw"": ""1043""}]",丰潭路与萍水街交叉口城西银泰1号门旁
238425,和润园,杭州,18,西湖区,1804,三墩,1876,杭州西湖区三墩古墩路与星艺路交汇处,nan,nan,nan,nan,125-230㎡,2193m²,6388m²,"[{""id"": 15361, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 125}, {""id"": 15358, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 130}, {""id"": 15360, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 230}]",2/4室,"2室户型,4室户型",nan,nan,nan,nan,[],{高层},{高层},70年,2.91,25%,40,毛坯,nan,住宅,nan,3.5元/㎡/月,nan,39,nan,售罄,售罄,售罄,[],[],nan,nan,杭州钱塘经济开发有限公司,民电,民水,30.297418989035,120.1053163031,"{""service_num"": ""4006708287"", ""num"": """"}","{""9"": ""轨交房"", ""10"": ""多轨交"", ""72"": ""配套纯熟"", ""71"": ""便利店"", ""70"": ""银行"", ""69"": ""学校"", ""68"": ""医院"", ""66"": ""公园"", ""65"": ""商业街"", ""64"": ""购物中心"", ""78"": ""大户型"", ""638"": ""民办中学"", ""637"": ""公办中学"", ""636"": ""公办小学"", ""635"": ""民办小学"", ""624"": ""九年一贯制"", ""606"": ""省一级园"", ""598"": ""民办幼儿园"", ""597"": ""公办幼儿园"", ""55"": ""小型社区""}","[""轨交房"", ""多轨交"", ""配套纯熟"", ""便利店"", ""银行""]",https://pic4.ajkimg.com/display/xinfang/a195ee83dcf7f4efc73cb026f40abb0e/275x206n.jpg,"[{""id"": ""7213066"", ""loupan_id"": ""238425"", ""station_id"": ""4807"", ""subway_id"": ""41"", ""city_id"": ""18"", ""distance"": ""301米"", ""status"": ""1"", ""last_update_time"": ""1774211231"", ""is_rail_loupan"": ""1"", ""subway_name"": ""2号线"", ""station_name"": ""文新"", ""distance_raw"": ""301""}, {""id"": ""7213061"", ""loupan_id"": ""238425"", ""station_id"": ""4808"", ""subway_id"": ""41"", ""city_id"": ""18"", ""distance"": ""1059米"", ""status"": ""1"", ""last_update_time"": ""1774211231"", ""is_rail_loupan"": ""1"", ""subway_name"": ""2号线"", ""station_name"": ""三坝"", ""distance_raw"": ""1059""}, {""id"": ""7213460"", ""loupan_id"": ""238425"", ""station_id"": ""4833"", ""subway_id"": ""142"", ""city_id"": ""18"", ""distance"": ""1176米"", ""status"": ""1"", ""last_update_time"": ""1774211231"", ""is_rail_loupan"": ""1"", ""subway_name"": ""5号线"", ""station_name"": ""三坝"", ""distance_raw"": ""1176""}]",黄龙世纪广场B区一层05B室/现场售楼处
